Aqueous UO2++ in Granite,Aqueous UO2++ in Bentonite,Aqueous UO2++ in Source,Adsorbed UO2++ in Bentonite,Mineralized UO2++ in Bentonite,Mineralized UO2++ in Source,m1_a1,m1_a2,m1_a3,m1_a4,m1_a5,m2_a1,m2_a2,m2_a3,m2_a4,m2_a5,m2_s1,m2_s2,m2_s3,m2_s4,m2_s5,m2_s6,m2_w1,m2_w2,m2_w3,Calcium,Carbonate,Calcium_frac,Carbonate_frac,Calcium_conc,Carbonate_conc,Calcium_frac_conc,Carbonate_frac_conc,Effluxed UO2++
4.015276759747888e-05,0.0006908052596120028,2.5812022158458353e-05,0.07129132096089388,0.0,241.42795986561322,3.408887833573337e-08,5.34773342956332e-09,1.1313161173013021e-10,4.2333011250189606e-10,1.6538040155671863e-10,5.650723392668858e-07,1.0877067260111135e-07,2.8225850258488585e-09,7.777911770014442e-09,3.585891429144859e-09,0.0020834288947668995,0.0005024652023262546,6.073599072900256e-05,3.6795875309113784e-06,0.008681037112058088,0.00361723491607245,0.00010567221814328009,0.000805913277461701,0.05543115154929759,0.09206020232657267,0.012012085646073473,0.00892290231136566,0.0008355016343396338,0.01661684147731055,0.0021681781915339773,0.022209127268385514,0.002079565760386885,7.59814584e-05
4.287342624429533e-05,0.0007319022198284428,2.6082194619461523e-05,0.07449829344232145,0.0,241.4246989505345,3.6425305044455086e-08,5.6875397338900354e-09,1.1972276421028577e-10,4.496840342979278e-10,1.758890223192685e-10,5.995095055593316e-07,1.1458491977187202e-07,2.952030898670761e-09,8.19720206853621e-09,3.748877486147339e-09,0.002179332242864802,0.0005256546756048015,6.354631987627115e-05,3.850287208480904e-06,0.009071385769693505,0.0037760333040958577,0.00011053870858805271,0.0008431244144504352,0.057924825425594684,0.09270040241196245,0.01201031672810092,0.0089550284479251,0.0008351565696418182,0.016732408198014533,0.0021678602989116474,0.02228922581607889,0.0020787196244855524,8.583681029000001e-05
4.5637827616312725e-05,0.0007737954350480492,2.6349906184754155e-05,0.07770554259733284,0.0,241.4214362180642,3.8801692444037236e-08,6.030764754481288e-09,1.2632862216954045e-10,4.76264845446035e-10,1.8650336799105002e-10,6.346749529604944e-07,1.204617152114933e-07,3.0813650939568825e-09,8.621186443877575e-09,3.911825717296189e-09,0.0022755349073299005,0.0005489165169730566,6.636541380210565e-05,4.0215186393921414e-06,0.009461756299693005,0.003934339065973397,0.00011542056465000434,0.0008804530339956661,0.06041873290106292,0.09333885619145976,0.012008027289748783,0.008986801049005962,0.0008347993712275856,0.01684765844300056,0.002167448269742433,0.02236841484324892,0.002077840440071547,9.639546184999999e-05
4.844363950118695e-05,0.0008164646463288793,2.661515231899139e-05,0.0809121134436807,0.0,241.41817263368495,4.1215820699030826e-08,6.377285297212735e-09,1.329514216425999e-10,5.030854802222808e-10,1.9721962875387047e-10,6.705523535043243e-07,1.2639755296269102e-07,3.2105193305696957e-09,9.049607193099665e-09,4.0746702222297486e-09,0.0023720172918040867,0.0005722455767263048,6.919259838657474e-05,4.1932378277243725e-06,0.00985203250142997,0.004092091597132269,0.00012031679050810798,0.0009178908617778741,0.06291213053295597,0.09397548556045054,0.012005237366110777,0.009017744873595752,0.0008344328430217888,0.016962578144881838,0.002166945727984735,0.02244551388941713,0.002076935445653525,0.00010766952382
5.1288656803516937e-05,0.0008598893947312988,2.6877938672843027e-05,0.08411707575802602,0.0,241.41490913881472,4.366612451569876e-08,6.7265666951368386e-09,1.3957549273741596e-10,5.300741868680746e-10,2.0802126985848756e-10,7.071251115535959e-07,1.3238898431707212e-07,3.3394285079523865e-09,9.482210946991722e-09,4.237347590902588e-09,0.0024687595930932577,0.0005956366850452242,7.202720074042394e-05,4.365401077898911e-06,0.010242101168322184,0.004249233296673167,0.00012522637969796834,0.0009554295899948826,0.0654042939092648,0.09461021891703314,0.01200196727359955,0.009048608619778822,0.0008340542507549805,0.01707715440936774,0.0021663563481147175,0.022522383997574152,0.0020759976367252624,0.00011967047618000001
5.416019395427631e-05,0.0009039024524686994,2.713359116227924e-05,0.08731950872741398,0.0,241.41164682800664,4.6141426818555924e-08,7.077237924971778e-09,1.4617936872141112e-10,5.571613393867464e-10,2.1886589197221366e-10,7.442544181516242e-07,1.3841026471373276e-07,3.4674788794156247e-09,9.917147449109122e-09,4.399462663122751e-09,0.0025659512557044024,0.0006191309778210146,7.487362553079437e-05,4.538239774560595e-06,0.010631852375724398,0.004405346367497152,0.00013015893983749213,0.000993135187921327,0.06789451914519024,0.09524287836313321,0.011997642423104308,0.009078645004954207,0.0008336450617483127,0.01719135518305536,0.002165576427336503,0.022597168849527515,0.002074981256632628,0.00013240917614
5.6998904817882734e-05,0.0009472742428990339,2.734301104937725e-05,0.09051752840468828,0.0,241.4083889033712,4.859116348407048e-08,7.421571307396513e-09,1.5260518706173378e-10,5.837109144391039e-10,2.295145141245256e-10,7.809159745171494e-07,1.442751054929351e-07,3.590136960611546e-09,1.0341058700369106e-08,4.55822643804706e-09,0.0026652531669048626,0.0006430901347703216,7.777080053118021e-05,4.713816493544417e-06,0.011021072241162787,0.004557403569867606,0.00013519871987681525,0.0010315878097064864,0.07038143545349144,0.09587255142254147,0.011987555597146612,0.009108608554843231,0.000833067793486089,0.017305016016594836,0.002163756346633213,0.022671744038897594,0.002073543908188167,0.00014589547076
5.97453764185981e-05,0.0009890281728380142,2.7481637614404916e-05,0.09370394628953196,0.0,241.40514360940008,5.0964262821975135e-08,7.752183307027622e-09,1.5870942132050652e-10,6.091578344962503e-10,2.3973879806166795e-10,8.162928817722448e-07,1.4983883903428736e-07,3.7039846645117354e-09,1.0743597220050814e-08,4.711400060070447e-09,0.002767722706982337,0.0006677266532897343,8.073924794078596e-05,4.8930602649891435e-06,0.011408893024682811,0.004702947035244942,0.0001403993518705842,0.0010711282707707914,0.07285949416474198,0.09649845918425742,0.011967868236806435,0.009138149945117607,0.0008321829811960616,0.01741799653616396,0.002160203274291952,0.02274524216523781,0.002071338678701267,0.00016013391274999998
6.238188411807397e-05,0.001028965871305664,2.755188045617328e-05,0.09687045725510288,0.0,241.40191947208098,5.3245205172957e-08,8.067074268570099e-09,1.6446023371444294e-10,6.333959094648326e-10,2.4947690376993504e-10,8.502142356745902e-07,1.5507676897257118e-07,3.808600232456535e-09,1.1122980432473169e-08,4.858512455135333e-09,0.0028732348822065887,0.0006929944121832124,8.377149908306373e-05,5.075406213222382e-06,0.0117942956550627,0.004841464310785405,0.00014575449322840137,0.0011116825522490261,0.07532218118620493,0.09712048665582454,0.011938529500255183,0.009166796383774248,0.0008309478703174278,0.017530276039675385,0.0021549080410701365,0.022816489061183463,0.002068259422350686,0.00017511732753
6.490786896207033e-05,0.0010674919588983388,2.757849063144973e-05,0.10000999428239808,0.0,241.39872315134605,5.5434174147211164e-08,8.36566290740622e-09,1.6983438800428634e-10,6.563061906569345e-10,2.587108548323738e-10,8.830124404827299e-07,1.600548199735275e-07,3.905753778028523e-09,1.1483908859801833e-08,5.000420468119513e-09,0.002980853813971308,0.0007186800253213661,8.684334784329985e-05,5.259489989564624e-06,0.012176402010173101,0.00497394400339864,0.00015121666463258613,0.0011529083101230104,0.07776388367364342,0.09773896406402721,0.011901935644513023,0.00919549882187453,0.000829397539163229,0.01764191406412142,0.0021483031649450726,0.0228878483690968,0.0020643931864699257,0.00019082400823000002
6.73366543152102e-05,0.0011048666966514444,2.7575761628078462e-05,0.1031182044914619,0.0,241.39555874187613,5.754193178073328e-08,8.650164102557923e-09,1.7488876392315248e-10,6.781046287274835e-10,2.675091471047146e-10,9.149004766778836e-07,1.648161761975652e-07,3.996629514424005e-09,1.1829447788543496e-08,5.137689706087256e-09,0.0030899667785819463,0.0007446482490240288,8.994003267840718e-05,5.444517744252131e-06,0.012554667610753153,0.00510107116306038,0.00015675478008424448,0.0011945885591194906,0.08018111977109069,0.09835415168596476,0.01186001662420436,0.009223719381594815,0.000827618995234474,0.017752957537690857,0.0021407369990651187,0.02295798455723594,0.0020599568705203745,0.00020722428186000001
6.968325092164683e-05,0.001141220413353297,2.755111103143355e-05,0.10619222564329174,0.0,241.3924289829518,5.958141749308952e-08,8.922431050570409e-09,1.7966016105003942e-10,6.989104149978279e-10,2.7592909129538937e-10,9.459834435849776e-07,1.6938388445347926e-07,4.081902670849194e-09,1.216122526990398e-08,5.2706208023223406e-09,0.0032002173855654667,0.0007708209893746548,9.3053107175799e-05,5.630040549924187e-06,0.012928732684684157,0.005223232125014543,0.00016235075656017653,0.0012365979890793335,0.08257158744970726,0.09896619885005627,0.011814034700704681,0.009251940429926999,0.0008256866242782937,0.01786343339048413,0.002132437381662519,0.023028096572420474,0.002055135510917512,0.00022428835638
